// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da
// command took 2.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da
// command took 2.82s and exited with 0
// ***** Done, took 00:00:05 (5.2 sec)   *****
// Found 5 benchmarks:
//   PopulateBenchmarks.LinqPopulate: DefaultJob
//   PopulateBenchmarks.ForLoopPopulate: DefaultJob
//   PopulateBenchmarks.ForEachPopulate: DefaultJob
//   PopulateBenchmarks.ParallelLinqPopulate: DefaultJob
//   PopulateBenchmarks.ParallelForEachLoop: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: PopulateBenchmarks.LinqPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e180f6be-7f6b-4fdb-815c-b1eae89192da.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.LinqPopulate" --job "Default" --benchmarkId 0 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult   6: 524288 op, 391802900.00 ns, 747.3047 ns/op
WorkloadResult   7: 524288 op, 395404100.00 ns, 754.1735 ns/op
WorkloadResult   8: 524288 op, 390459400.00 ns, 744.7422 ns/op
WorkloadResult   9: 524288 op, 389713000.00 ns, 743.3186 ns/op
WorkloadResult  10: 524288 op, 394140700.00 ns, 751.7637 ns/op
WorkloadResult  11: 524288 op, 383872000.00 ns, 732.1777 ns/op
WorkloadResult  12: 524288 op, 390516000.00 ns, 744.8502 ns/op
WorkloadResult  13: 524288 op, 393817200.00 ns, 751.1467 ns/op
GC:  0 0 0 0 0

// AfterAll

Mean = 745.5552 ns, StdErr = 1.8023 ns (0.24%); N = 13, StdDev = 6.4983 ns
Min = 732.1777 ns, Q1 = 743.6183 ns, Median = 746.0167 ns, Q3 = 750.7474 ns, Max = 754.1735 ns
IQR = 7.1291 ns, LowerFence = 732.9247 ns, UpperFence = 761.4410 ns
ConfidenceInterval = [737.7732 ns; 753.3371 ns] (CI 99.9%), Margin = 7.7819 ns (1.04% of Mean)
Skewness = -0.8, Kurtosis = 2.59, MValue = 2

// **************************
// Benchmark: PopulateBenchmarks.ForLoopPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e180f6be-7f6b-4fdb-815c-b1eae89192da.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.ForLoopPopulate" --job "Default" --benchmarkId 1 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 403900.00 ns, 403.9000 us/op
WorkloadJitting  1: 1 op, 561700.00 ns, 561.7000 us/op

OverheadJitting  2: 16 op, 811300.00 ns, 50.7062 us/op
WorkloadJitting  2: 16 op, 962200.00 ns, 60.1375 us/op

WorkloadPilot    1: 16 op, 9700.00 ns, 606.2500 ns/op
WorkloadPilot    2: 32 op, 13700.00 ns, 428.1250 ns/op
WorkloadPilot    3: 64 op, 45800.00 ns, 715.6250 ns/op
WorkloadPilot    4: 128 op, 90200.00 ns, 704.6875 ns/op
WorkloadPilot    5: 256 op, 176100.00 ns, 687.8906 ns/op
WorkloadPilot    6: 512 op, 380700.00 ns, 743.5547 ns/op
WorkloadPilot    7: 1024 op, 711000.00 ns, 694.3359 ns/op
WorkloadPilot    8: 2048 op, 1513200.00 ns, 738.8672 ns/op
WorkloadPilot    9: 4096 op, 3083500.00 ns, 752.8076 ns/op
WorkloadPilot   10: 8192 op, 6426000.00 ns, 784.4238 ns/op
WorkloadPilot   11: 16384 op, 12430000.00 ns, 758.6670 ns/op
WorkloadPilot   12: 32768 op, 24833300.00 ns, 757.8522 ns/op
WorkloadPilot   13: 65536 op, 51938300.00 ns, 792.5156 ns/op
WorkloadPilot   14: 131072 op, 98423400.00 ns, 750.9109 ns/op
WorkloadPilot   15: 262144 op, 213199000.00 ns, 813.2896 ns/op
WorkloadPilot   16: 524288 op, 416363800.00 ns, 794.1509 ns/op
WorkloadPilot   17: 1048576 op, 882110200.00 ns, 841.2458 ns/op

OverheadWarmup   1: 1048576 op, 4248300.00 ns, 4.0515 ns/op
OverheadWarmup   2: 1048576 op, 4148300.00 ns, 3.9561 ns/op
OverheadWarmup   3: 1048576 op, 4176100.00 ns, 3.9826 ns/op
OverheadWarmup   4: 1048576 op, 4148400.00 ns, 3.9562 ns/op
OverheadWarmup   5: 1048576 op, 4157000.00 ns, 3.9644 ns/op
OverheadWarmup   6: 1048576 op, 4149200.00 ns, 3.9570 ns/op

OverheadActual   1: 1048576 op, 4148600.00 ns, 3.9564 ns/op
OverheadActual   2: 1048576 op, 4149500.00 ns, 3.9573 ns/op
OverheadActual   3: 1048576 op, 4175700.00 ns, 3.9823 ns/op
OverheadActual   4: 1048576 op, 4148200.00 ns, 3.9560 ns/op
OverheadActual   5: 1048576 op, 4154100.00 ns, 3.9617 ns/op
OverheadActual   6: 1048576 op, 4153300.00 ns, 3.9609 ns/op
OverheadActual   7: 1048576 op, 4155600.00 ns, 3.9631 ns/op
OverheadActual   8: 1048576 op, 4175800.00 ns, 3.9824 ns/op
OverheadActual   9: 1048576 op, 4155200.00 ns, 3.9627 ns/op
OverheadActual  10: 1048576 op, 4148700.00 ns, 3.9565 ns/op
OverheadActual  11: 1048576 op, 4251400.00 ns, 4.0545 ns/op
OverheadActual  12: 1048576 op, 4250200.00 ns, 4.0533 ns/op
OverheadActual  13: 1048576 op, 4246900.00 ns, 4.0502 ns/op
OverheadActual  14: 1048576 op, 4391000.00 ns, 4.1876 ns/op
OverheadActual  15: 1048576 op, 4171400.00 ns, 3.9782 ns/op

WorkloadWarmup   1: 1048576 op, 576291200.00 ns, 549.5941 ns/op
WorkloadWarmup   2: 1048576 op, 1096920400.00 ns, 1.0461 us/op
WorkloadWarmup   3: 1048576 op, 589374800.00 ns, 562.0716 ns/op
WorkloadWarmup   4: 1048576 op, 513888800.00 ns, 490.0826 ns/op
WorkloadWarmup   5: 1048576 op, 578949500.00 ns, 552.1293 ns/op
WorkloadWarmup   6: 1048576 op, 1744695800.00 ns, 1.6639 us/op
WorkloadWarmup   7: 1048576 op, 555983500.00 ns, 530.2272 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 592681800.00 ns, 565.2254 ns/op
WorkloadActual   2: 1048576 op, 472649700.00 ns, 450.7539 ns/op
WorkloadActual   3: 1048576 op, 591025800.00 ns, 563.6461 ns/op
WorkloadActual   4: 1048576 op, 593874700.00 ns, 566.3630 ns/op
WorkloadActual   5: 1048576 op, 498116900.00 ns, 475.0413 ns/op
WorkloadActual   6: 1048576 op, 601241200.00 ns, 573.3883 ns/op
WorkloadActual   7: 1048576 op, 6069627200.00 ns, 5.7884 us/op
WorkloadActual   8: 1048576 op, 648635400.00 ns, 618.5869 ns/op
WorkloadActual   9: 1048576 op, 614688700.00 ns, 586.2128 ns/op
WorkloadActual  10: 1048576 op, 631130800.00 ns, 601.8932 ns/op
WorkloadActual  11: 1048576 op, 625936900.00 ns, 596.9399 ns/op

OutOfMemoryException!
BenchmarkDotNet continues to run additional iterations until desired accuracy level is achieved. It's possible only if the benchmark method doesn't have any side-effects.
If your benchmark allocates memory and keeps it alive, you are creating a memory leak.
You should redesign your benchmark and remove the side-effects. You can use `OperationsPerInvoke`, `IterationSetup` and `IterationCleanup` to do that.

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.OutOfMemoryException: Array dimensions exceeded supported range.
   at System.Collections.Generic.List`1.set_Capacity(Int32 value)
   at System.Collections.Generic.List`1.EnsureCapacity(Int32 min)
   at System.Collections.Generic.List`1.AddWithResize(T item)
   at ListBenchmarks.PopulateBenchmarks.ForLoopPopulate() in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\Program.cs:line 96
   at BenchmarkDotNet.Autogenerated.Runnable_1.WorkloadActionUnroll(Int64 invokeCount) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 1123
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineStage.RunIteration(IterationMode mode, IterationStage stage, Int32 index, Int64 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineActualStage.RunAuto(Int64 invokeCount, IterationMode iterationMode, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineActualStage.Run(Int64 invokeCount, IterationMode iterationMode, Boolean runAuto, Int32 unrollFactor, Boolean forceSpecific)
   at BenchmarkDotNet.Engines.EngineActualStage.RunWorkload(Int64 invokeCount, Int32 unrollFactor, Boolean forceSpecific)
   at BenchmarkDotNet.Engines.Engine.Run()
   at BenchmarkDotNet.Autogenerated.Runnable_1.Run(IHost host, String benchmarkName) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 815
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 52
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: PopulateBenchmarks.ForEachPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e180f6be-7f6b-4fdb-815c-b1eae89192da.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.ForEachPopulate" --job "Default" --benchmarkId 2 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 397300.00 ns, 397.3000 us/op
WorkloadJitting  1: 1 op, 798700.00 ns, 798.7000 us/op

OverheadJitting  2: 16 op, 803600.00 ns, 50.2250 us/op
WorkloadJitting  2: 16 op, 765000.00 ns, 47.8125 us/op

WorkloadPilot    1: 16 op, 8700.00 ns, 543.7500 ns/op
WorkloadPilot    2: 32 op, 21800.00 ns, 681.2500 ns/op
WorkloadPilot    3: 64 op, 49900.00 ns, 779.6875 ns/op
WorkloadPilot    4: 128 op, 101700.00 ns, 794.5312 ns/op
WorkloadPilot    5: 256 op, 206000.00 ns, 804.6875 ns/op
WorkloadPilot    6: 512 op, 416600.00 ns, 813.6719 ns/op
WorkloadPilot    7: 1024 op, 854000.00 ns, 833.9844 ns/op
WorkloadPilot    8: 2048 op, 1767300.00 ns, 862.9395 ns/op
WorkloadPilot    9: 4096 op, 3588800.00 ns, 876.1719 ns/op
WorkloadPilot   10: 8192 op, 7243000.00 ns, 884.1553 ns/op
WorkloadPilot   11: 16384 op, 14146900.00 ns, 863.4583 ns/op
WorkloadPilot   12: 32768 op, 29111900.00 ns, 888.4247 ns/op
WorkloadPilot   13: 65536 op, 58300400.00 ns, 889.5935 ns/op
WorkloadPilot   14: 131072 op, 114097700.00 ns, 870.4964 ns/op
WorkloadPilot   15: 262144 op, 224563900.00 ns, 856.6433 ns/op
WorkloadPilot   16: 524288 op, 461157400.00 ns, 879.5879 ns/op
WorkloadPilot   17: 1048576 op, 871275200.00 ns, 830.9128 ns/op

OverheadWarmup   1: 1048576 op, 4249600.00 ns, 4.0527 ns/op
OverheadWarmup   2: 1048576 op, 4193100.00 ns, 3.9989 ns/op
OverheadWarmup   3: 1048576 op, 4197300.00 ns, 4.0029 ns/op
OverheadWarmup   4: 1048576 op, 4192200.00 ns, 3.9980 ns/op
OverheadWarmup   5: 1048576 op, 4200000.00 ns, 4.0054 ns/op
OverheadWarmup   6: 1048576 op, 4207900.00 ns, 4.0130 ns/op
OverheadWarmup   7: 1048576 op, 4201600.00 ns, 4.0070 ns/op

OverheadActual   1: 1048576 op, 4192900.00 ns, 3.9987 ns/op
OverheadActual   2: 1048576 op, 4206500.00 ns, 4.0116 ns/op
OverheadActual   3: 1048576 op, 4189200.00 ns, 3.9951 ns/op
OverheadActual   4: 1048576 op, 4208400.00 ns, 4.0134 ns/op
OverheadActual   5: 1048576 op, 4190300.00 ns, 3.9962 ns/op
OverheadActual   6: 1048576 op, 4201300.00 ns, 4.0067 ns/op
OverheadActual   7: 1048576 op, 4484700.00 ns, 4.2769 ns/op
OverheadActual   8: 1048576 op, 4190800.00 ns, 3.9967 ns/op
OverheadActual   9: 1048576 op, 4191800.00 ns, 3.9976 ns/op
OverheadActual  10: 1048576 op, 4190700.00 ns, 3.9966 ns/op
OverheadActual  11: 1048576 op, 4235100.00 ns, 4.0389 ns/op
OverheadActual  12: 1048576 op, 4202900.00 ns, 4.0082 ns/op
OverheadActual  13: 1048576 op, 4189000.00 ns, 3.9949 ns/op
OverheadActual  14: 1048576 op, 4198500.00 ns, 4.0040 ns/op
OverheadActual  15: 1048576 op, 4193200.00 ns, 3.9989 ns/op

WorkloadWarmup   1: 1048576 op, 592231400.00 ns, 564.7959 ns/op
WorkloadWarmup   2: 1048576 op, 1184456800.00 ns, 1.1296 us/op
WorkloadWarmup   3: 1048576 op, 572678600.00 ns, 546.1489 ns/op
WorkloadWarmup   4: 1048576 op, 569476700.00 ns, 543.0953 ns/op
WorkloadWarmup   5: 1048576 op, 587924600.00 ns, 560.6886 ns/op
WorkloadWarmup   6: 1048576 op, 1749137300.00 ns, 1.6681 us/op
WorkloadWarmup   7: 1048576 op, 582452300.00 ns, 555.4698 ns/op

// BeforeActualRun
WorkloadActual   1: 1048576 op, 590887800.00 ns, 563.5145 ns/op
WorkloadActual   2: 1048576 op, 565115600.00 ns, 538.9362 ns/op
WorkloadActual   3: 1048576 op, 553699900.00 ns, 528.0494 ns/op
WorkloadActual   4: 1048576 op, 556464700.00 ns, 530.6861 ns/op
WorkloadActual   5: 1048576 op, 554227300.00 ns, 528.5523 ns/op
WorkloadActual   6: 1048576 op, 590635900.00 ns, 563.2743 ns/op
WorkloadActual   7: 1048576 op, 5039284100.00 ns, 4.8058 us/op
WorkloadActual   8: 1048576 op, 590228300.00 ns, 562.8856 ns/op
WorkloadActual   9: 1048576 op, 582280800.00 ns, 555.3062 ns/op
WorkloadActual  10: 1048576 op, 587752700.00 ns, 560.5247 ns/op
WorkloadActual  11: 1048576 op, 566351200.00 ns, 540.1146 ns/op

OutOfMemoryException!
BenchmarkDotNet continues to run additional iterations until desired accuracy level is achieved. It's possible only if the benchmark method doesn't have any side-effects.
If your benchmark allocates memory and keeps it alive, you are creating a memory leak.
You should redesign your benchmark and remove the side-effects. You can use `OperationsPerInvoke`, `IterationSetup` and `IterationCleanup` to do that.

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> System.OutOfMemoryException: Array dimensions exceeded supported range.
   at System.Collections.Generic.List`1.set_Capacity(Int32 value)
   at System.Collections.Generic.List`1.EnsureCapacity(Int32 min)
   at System.Collections.Generic.List`1.AddWithResize(T item)
   at ListBenchmarks.PopulateBenchmarks.ForEachPopulate() in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\Program.cs:line 109
   at BenchmarkDotNet.Autogenerated.Runnable_2.WorkloadActionUnroll(Int64 invokeCount) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 1767
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineStage.RunIteration(IterationMode mode, IterationStage stage, Int32 index, Int64 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineActualStage.RunAuto(Int64 invokeCount, IterationMode iterationMode, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineActualStage.Run(Int64 invokeCount, IterationMode iterationMode, Boolean runAuto, Int32 unrollFactor, Boolean forceSpecific)
   at BenchmarkDotNet.Engines.EngineActualStage.RunWorkload(Int64 invokeCount, Int32 unrollFactor, Boolean forceSpecific)
   at BenchmarkDotNet.Engines.Engine.Run()
   at BenchmarkDotNet.Autogenerated.Runnable_2.Run(IHost host, String benchmarkName) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 1459
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\e180f6be-7f6b-4fdb-815c-b1eae89192da.notcs:line 52
// AfterAll
ExitCode != 0
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// **************************
// Benchmark: PopulateBenchmarks.ParallelLinqPopulate: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "e180f6be-7f6b-4fdb-815c-b1eae89192da.dll" --benchmarkName "ListBenchmarks.PopulateBenchmarks.ParallelLinqPopulate" --job "Default" --benchmarkId 3 in F:\Eduardo\Documents\Code\C#\LambdaBenchmarks\LambdaBenchmarks\bin\Release\netcoreapp3.0\e180f6be-7f6b-4fdb-815c-b1eae89192da\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 407500.00 ns, 407.5000 us/op
WorkloadJitting  1: 1 op, 20688100.00 ns, 20.6881 ms/op

OverheadJitting  2: 16 op, 865500.00 ns, 54.0938 us/op
WorkloadJitting  2: 16 op, 1506800.00 ns, 94.1750 us/op

